,Vendor Id,Status,Name,Date,UpdateProfile,Found_2023-08-22 12
220,58148,ACTIVE,کافه رستوران رافائل,2023-08-10 16:15:11,,
221,43383,ACTIVE,رستوران ایتالیایی گاندی,2023-08-10 17:30:07,,
222,61426,ACTIVE,آبمیوه بستنی اکسیژن,2023-08-10 19:15:14,,
223,62705,ACTIVE,رستوران صدف 1,2023-08-10 19:15:14,,
224,79942,ACTIVE,تهیه غذای نعیم,2023-08-10 20:30:46,,
225,288476,ACTIVE,رستوران نصر,2023-08-10 21:04:38,,
226,10704,ACTIVE,رستوران کالوشه,2023-08-10 21:30:12,,
227,291868,ACTIVE,فست فود ترنج,2023-08-11 0:30:05,,
228,270878,ACTIVE,دیزی سرای سلطان,2023-08-11 7:45:06,,
229,63574,ACTIVE,تهیه غذا مش حسن,2023-08-11 8:00:03,,
230,57706,ACTIVE,بوفه کانتینر (وزرا),2023-08-11 8:15:04,,
231,58792,ACTIVE,شیرینی بوفه کانتینر (وزرا),2023-08-11 8:15:04,,
232,32665,ACTIVE,آبمیوه بستنی کولاک,2023-08-11 9:15:03,,
233,48400,ACTIVE,قنادی ونوس,2023-08-11 9:15:03,,
234,37852,ACTIVE,پیراشکی خسروی (کریمخان),2023-08-11 9:45:03,,
235,43297,ACTIVE,آبمیوه خسروی,2023-08-11 9:45:03,,
236,294799,ACTIVE,کافه بریانکده مورو,2023-08-11 9:45:09,,
237,58469,ACTIVE,کلین فود (امام خمینی),2023-08-11 10:15:05,,
238,58709,ACTIVE,آجیل و خشکبار تواضع اصل (پاسداران),2023-08-11 10:15:05,,
239,213700,ACTIVE,پت شاپ کلبه حیوانات (دروس),2023-08-11 10:15:08,,
240,310873,ACTIVE,باقلوای تک سین (شعبه اکباتان),2023-08-11 10:15:14,,
241,309593,ACTIVE,شیرینی پراگ (میرداماد),2023-08-11 10:45:12,,
242,40555,ACTIVE,بیک,2023-08-11 11:45:06,,
243,97797,ACTIVE,فست فود پاچینی,2023-08-11 11:45:14,,
244,109424,ACTIVE,پيتزا بوته,2023-08-11 11:45:14,,
245,320056,ACTIVE,کته دیگ (نیروی هوایی),2023-08-11 11:45:28,,
246,10649,ACTIVE,پیروک فود,2023-08-11 12:00:04,,
247,17245,ACTIVE,باقلوای عروس لبنان,2023-08-11 12:15:03,,
248,49120,ACTIVE,رستوران ایتالیایی ژوانی,2023-08-11 12:15:09,,
249,278650,ACTIVE,فست فود و سوخاری باران,2023-08-11 12:15:33,,
250,290286,ACTIVE,فلافل هات داگ منصور دلیشز,2023-08-11 12:15:36,,
251,316532,ACTIVE,ساندویچ سبز,2023-08-11 12:15:46,,
252,87359,ACTIVE,رستوران جوجک,2023-08-11 12:30:20,,
253,256997,ACTIVE,رستوران مهربانو,2023-08-11 12:30:28,,
254,298006,ACTIVE,کافه رستوران نارکو,2023-08-11 12:30:38,,
255,297324,ACTIVE,پیتزا سدار,2023-08-11 13:00:37,,
256,223427,ACTIVE,کترینگ مهان,2023-08-11 13:15:19,,
257,10539,ACTIVE,پیتزا ستاره,2023-08-11 14:45:03,,
258,99726,ACTIVE,فست فود مرغ بال,2023-08-11 17:15:14,,
259,83009,ACTIVE,غذای ایرانی شمس,2023-08-11 18:15:13,,
260,51545,ACTIVE,قنادی عرش,2023-08-11 18:30:08,,
261,112278,ACTIVE,کافه رستوران آلما,2023-08-11 18:45:16,,
262,24211,ACTIVE,کافه رستوران ویند,2023-08-11 19:15:04,,
263,25494,ACTIVE,پیتزا 2002,2023-08-11 19:15:05,,
264,29098,ACTIVE,پیتزا سیب 360 (افسریه),2023-08-11 19:15:05,,
265,55653,ACTIVE,آجیل شیرینی کندو vip (لاریسا آجیل سابق),2023-08-11 19:15:06,,
266,78673,ACTIVE,رستوران برکتی (تهران پارس),2023-08-11 19:15:16,,
267,228863,ACTIVE,تهیه غذای پلو خورش,2023-08-11 19:15:21,,
268,294247,ACTIVE,کترینگ کباب گلپایگانی یاسر,2023-08-11 19:15:33,,
269,312942,ACTIVE,لبنان شاورما,2023-08-11 19:15:39,,
270,319581,ACTIVE,رستوران باغ فردوس,2023-08-11 19:15:41,,
271,100383,ACTIVE,میوه میارم (پارک ملت),2023-08-11 20:15:19,,
272,319741,ACTIVE,کافه آرت,2023-08-11 20:30:43,,
273,319300,ACTIVE,فست فود تک طهرون,2023-08-11 22:00:37,,
274,86511,ACTIVE,شیرینی فروشی وانیلا (پاسداران),2023-08-12 8:15:05,,
275,94912,ACTIVE,کافه نان بروله (دیباجی جنوبی),2023-08-12 8:45:05,,
276,279340,ACTIVE,پت شاپ الو پت پت,2023-08-12 8:45:07,,
277,298112,ACTIVE,کافه رستوران ملبورن,2023-08-12 8:45:07,,
278,312968,ACTIVE,کافه رستوران آوا,2023-08-12 8:45:08,,
279,54877,ACTIVE,طباخی محله,2023-08-12 9:00:04,,
280,11685,ACTIVE,تهیه غذای دایی,2023-08-12 11:15:03,,
281,13394,ACTIVE,پیتزا دایی,2023-08-12 11:15:03,,
282,45980,ACTIVE,موسوی کباب (کبابخانه موسوی),2023-08-12 11:15:05,,
283,230967,ACTIVE,لبنیات سنتی اسبقی پور لیقوان,2023-08-12 11:15:14,,
284,310710,ACTIVE,تهیه غذای پایتخت,2023-08-12 11:15:26,,
285,106402,ACTIVE,سرزمین سوخاری (الوند),2023-08-12 11:45:14,,
286,33380,ACTIVE,کباب ناب بناب حافظ,2023-08-12 12:15:09,,
287,50457,ACTIVE,مجموعه غذای لیالی,2023-08-12 12:15:12,,
288,63651,ACTIVE,غذای اصیل و گیلانی بارکو,2023-08-12 12:15:19,,
289,97948,ACTIVE,فست فود هفت چنار,2023-08-12 12:15:27,,
290,258007,ACTIVE,اکبر جوجه درکه (شعبه ۲ سعادت آباد),2023-08-12 12:15:38,,
291,293513,ACTIVE,رستوران زیتون,2023-08-12 12:15:53,,
292,30272,ACTIVE,پرپل سوخاری (ارتش),2023-08-12 15:01:57,,
293,60191,ACTIVE,سوپر سبزیجات باران (چیذر),2023-08-12 15:02:36,,
294,289577,ACTIVE,فست فود دی دی لانچ,2023-08-12 15:32:06,,
295,299767,ACTIVE,پیتزا فرفری,2023-08-12 15:35:17,,
296,15048,ACTIVE,فست فود هیوا (تجریش),2023-08-12 16:15:09,,
297,91084,ACTIVE,سالاد بار هیوا,2023-08-12 16:15:09,,
298,27900,ACTIVE,توچال کباب,2023-08-12 16:15:11,,
299,43260,ACTIVE,شیرینی لندو,2023-08-12 16:15:19,,
300,323636,ACTIVE,لقمه امیر انفجار (شریعتی),2023-08-12 16:16:09,,
301,100654,ACTIVE,کافه نان و قهوه بادیز,2023-08-12 16:30:36,,
302,78756,ACTIVE,کافه لایت,2023-08-12 17:30:46,,
303,253759,ACTIVE,کافه پاپیون,2023-08-12 17:31:06,,
304,260325,ACTIVE,فست فود پلاکارت,2023-08-12 17:31:08,,
305,110221,ACTIVE,آش و حلیم الیزه,2023-08-12 18:00:05,,
306,252102,ACTIVE,کافه رستوران مهران,2023-08-12 18:00:23,,
307,45225,ACTIVE,پیتزا همبرگر بهروز (اصلی),2023-08-12 18:30:08,,
308,92231,ACTIVE,فست فود پاتوق شبانه کارون,2023-08-12 18:30:17,,
309,293698,ACTIVE,رستوران گلستان,2023-08-12 19:15:37,,
310,272078,ACTIVE,فست فود ایگل,2023-08-12 19:30:38,,
311,293546,ACTIVE,فست فود سالیز,2023-08-12 22:30:30,,
312,63436,ACTIVE,رستوران بلو لایف تهران,2023-08-12 22:45:10,,
313,34923,ACTIVE,سرزمین جگر,2023-08-12 23:15:05,,
314,66960,ACTIVE,شیرینی کندو,2023-08-13 8:15:04,,
315,313590,ACTIVE,کافه وو,2023-08-13 9:15:14,,
316,31155,ACTIVE,آجیل و خشکبار تواضع اصل (VIP ملل),2023-08-13 10:15:03,,
317,217122,ACTIVE,آبمیوه بستنی میثم,2023-08-13 11:15:12,,
318,57533,ACTIVE,نامبر 10 (فودکورت ارگ),2023-08-13 11:45:04,,
319,98057,ACTIVE,نامبر 10 (شهرک غرب),2023-08-13 11:45:04,,
320,44387,ACTIVE,تهیه غذای ایرانیان (دنیز سابق),2023-08-13 11:45:07,,
321,61289,ACTIVE,پیتزا سیب 360 (دیباجی),2023-08-13 11:45:11,,
322,317422,ACTIVE,فست فود پیتزا پیتزا,2023-08-13 11:45:31,,
323,253540,ACTIVE,رستوران 110,2023-08-13 12:00:26,,
324,26594,ACTIVE,یکتاویچ,2023-08-13 12:15:34,,
