Vendor Id,Status,Name,Date,UpdateProfile
217122,ACTIVE,آبمیوه بستنی میثم,2023-08-13 11:15:12,
57533,ACTIVE,نامبر 10 (فودکورت ارگ),2023-08-13 11:45:04,
98057,ACTIVE,نامبر 10 (شهرک غرب),2023-08-13 11:45:04,
44387,ACTIVE,تهیه غذای ایرانیان (دنیز سابق),2023-08-13 11:45:07,
61289,ACTIVE,پیتزا سیب 360 (دیباجی),2023-08-13 11:45:11,
317422,ACTIVE,فست فود پیتزا پیتزا,2023-08-13 11:45:31,
253540,ACTIVE,رستوران 110,2023-08-13 12:00:26,
26594,ACTIVE,یکتاویچ,2023-08-13 12:15:34,
314696,ACTIVE,خانه کباب گندم,2023-08-13 12:27:03,
50835,ACTIVE,نان نابروتا,2023-08-14 10:00:04,
16561,ACTIVE,لئون (مدرن الهیه),2023-08-14 10:15:03,
294559,ACTIVE,آبمیوه بستنی سان استار,2023-08-14 10:30:12,
26919,ACTIVE,کولاک,2023-08-14 10:45:03,
32284,ACTIVE,گروه غذایی میهمان,2023-08-14 11:15:05,
260108,ACTIVE,آبمیوه و بستنی یزدی,2023-08-14 11:15:15,
294997,ACTIVE,لبنیات سنتی لیقوانی,2023-08-14 11:15:21,
20102,ACTIVE,ایران برگر گلدن,2023-08-14 11:30:03,
286706,ACTIVE,فست فود مامان جون (شعبه شهران),2023-08-14 11:30:17,
79051,ACTIVE,آبمیوه بستنی لوتوس,2023-08-14 11:45:12,
225242,ACTIVE,گلدچیکن (سوخاری طلایی مطهری),2023-08-14 12:00:16,
29555,ACTIVE,آتیش,2023-08-14 12:15:06,
34660,ACTIVE,رستوران سفره خانه سنتی زعفران,2023-08-14 12:15:07,
98534,ACTIVE,سفره خانه سنتی گلاب,2023-08-14 12:15:20,
263450,ACTIVE,فست فود آنا,2023-08-14 12:15:32,
265341,ACTIVE,جگر سرای چاشنی,2023-08-14 12:15:32,
278104,ACTIVE,نان و شیرینی جم 2 (یوسف آباد),2023-08-14 12:15:35,
313458,ACTIVE,کافه رستوران لندو,2023-08-14 12:15:48,
59595,ACTIVE,نان و شیرینی جم 3 (ظفر),2023-08-14 12:30:15,
66677,ACTIVE,مجموعه غذایی آماتا,2023-08-14 12:30:17,
301777,ACTIVE,پیتزا وی آی پی,2023-08-14 12:30:48,
315851,ACTIVE,آبمیوه بستنی لیمو بار (تهرانپارس),2023-08-14 12:30:52,
14994,ACTIVE,طباخی کلپچ,2023-08-14 12:45:04,
28317,ACTIVE,سبزی من,2023-08-14 13:15:10,
36352,ACTIVE,رستوران کدبانو,2023-08-14 13:15:13,
74827,ACTIVE,سوشی اكسپرس ساكورا,2023-08-14 13:15:14,
45319,ACTIVE,حلوا لند,2023-08-14 13:15:15,
258009,ACTIVE,سه فر (ساعی),2023-08-14 13:15:40,
281219,ACTIVE,پیتزا توماتو,2023-08-14 13:15:47,
293215,ACTIVE,آیس لند پلاس (شعبه 3),2023-08-14 13:15:52,
295593,ACTIVE,آشپزخانه پیتزا لافت,2023-08-14 13:15:53,
296534,ACTIVE,ایکیگای سوشی بار,2023-08-14 13:15:53,
318861,ACTIVE,کافه رستوران پستو,2023-08-14 13:16:03,
8634,ACTIVE,رستوران غنچه,2023-08-14 13:30:03,
10522,ACTIVE,رستوران آسیایی واسابی (آ اس پ),2023-08-14 13:30:04,
31614,ACTIVE,ماه و مهر,2023-08-14 13:30:10,
33663,ACTIVE,رستوران ضیافت,2023-08-14 13:30:11,
35210,ACTIVE,گیلان خوراک ماسوله,2023-08-14 13:30:12,
44435,ACTIVE,رستوران مهدی,2023-08-14 13:30:14,
45822,ACTIVE,فست فود اوشمزه,2023-08-14 13:30:14,
51045,ACTIVE,فست فود سورن,2023-08-14 13:30:17,
58055,ACTIVE,فست فود پوکری ایران,2023-08-14 13:30:19,
67686,ACTIVE,سوسیس و کالباس یاشار,2023-08-14 13:30:25,
73754,ACTIVE,بربری نان سارا,2023-08-14 13:30:29,
77710,ACTIVE,طریقت,2023-08-14 13:30:30,
98897,ACTIVE,اسنک لند,2023-08-14 13:30:34,
