,Unnamed: 0.1,Unnamed: 0,Vendor Id,Status,Name,Date,UpdateProfile,Found_2023-08-22 12,Found_2023-08-22 15
187,187,187,100186,ACTIVE,سرزمین سوخاری (اندرزگو),2023-08-09 12:45:30,,,
188,188,188,34057,ACTIVE,غذای ایرانی پردیس (شهرک ورداورد),2023-08-09 13:30:14,,,
189,189,189,213074,ACTIVE,تهیه غذای فدک,2023-08-09 14:15:24,,,
190,190,190,271104,ACTIVE,کافه رستوران اورانوس,2023-08-09 14:30:35,,,
191,191,191,311016,ACTIVE,کافه فلورانس,2023-08-09 17:30:37,,,
192,192,192,270026,ACTIVE,رستوران ایرانی فرانسوی لیموژ,2023-08-09 17:45:25,,,
193,193,193,300465,ACTIVE,فست فود ریکشا,2023-08-09 18:15:34,,,
194,194,194,62285,ACTIVE,مجموعه غذایی مهدی سلطان,2023-08-09 20:30:16,,,
195,195,195,248119,ACTIVE,کافه رستوران لیو,2023-08-09 21:30:28,,,
196,196,196,317662,ACTIVE,طباخی شمرون,2023-08-09 23:45:08,,,
197,197,197,31570,ACTIVE,سرای کباب هادی و حانی,2023-08-10 7:45:03,,,
198,198,198,255385,ACTIVE,کافه 8,2023-08-10 7:45:05,,,
199,199,199,286875,ACTIVE,گل نارین,2023-08-10 8:15:08,,,
200,200,200,278170,ACTIVE,عطاری رویال (شعبه 1),2023-08-10 9:15:14,,,
201,201,201,262032,ACTIVE,گل فروشی گلاله,2023-08-10 9:45:09,,,
202,202,202,40954,ACTIVE,باماهاس (هروی),2023-08-10 11:15:05,,,
203,203,203,295049,ACTIVE,باماهاس (هدیش مال),2023-08-10 11:15:05,,,
204,204,204,286956,ACTIVE,کترینگ هرنان,2023-08-10 11:15:22,,,
205,205,205,18485,ACTIVE,مرغ بریان و فست فود سفیر,2023-08-10 11:45:03,,,
206,206,206,29709,ACTIVE,کترینگ بزرگ کیبو (سارا سابق),2023-08-10 11:45:05,,,
207,207,207,271462,ACTIVE,کمپ مزه (پارک ملت),2023-08-10 11:45:22,,,
208,208,208,307926,ACTIVE,فست فود شادی,2023-08-10 11:45:30,,,
